label: RS X (Scalar_field_X)
elapsed_s: 0.019531
python_current_mib: 0.3940
python_peak_mib: 3.2688
rss_delta_mib: 0.2031

[cprofile]
         110 function calls (109 primitive calls) in 0.019 seconds

   Ordered by: cumulative time
   List reduced from 60 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    0.019    0.019 utils_common.py:33(wrapper)
        1    0.000    0.000    0.019    0.019 scalar_fields_X.py:890(RS)
        1    0.000    0.000    0.019    0.019 scalar_fields_X.py:789(_RS_)
        1    0.012    0.012    0.012    0.012 scalar_fields_X.py:1545(kernelRS)
        3    0.000    0.000    0.006    0.002 basic.py:11(c2c)
        3    0.005    0.002    0.005    0.002 {built-in method scipy.fft._pocketfft.pypocketfft.c2c}
        2    0.000    0.000    0.004    0.002 _basic.py:12(fft)
        1    0.000    0.000    0.002    0.002 _basic.py:91(ifft)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 function_base.py:24(linspace)
        2    0.000    0.000    0.000    0.000 scalar_fields_X.py:115(__init__)
        1    0.000    0.000    0.000    0.000 _version.py:55(__init__)
        2    0.000    0.000    0.000    0.000 utils_common.py:678(get_date)
        3    0.000    0.000    0.000    0.000 helper.py:114(_asfarray)
        1    0.000    0.000    0.000    0.000 numeric.py:67(zeros_like)
        5    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        2    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        5    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.000    0.000 {method 'max' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:164(match)
        1    0.000    0.000    0.000    0.000 {method 'min' of 'numpy.generic' objects}
        2    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        3    0.000    0.000    0.000    0.000 helper.py:195(_workers)
        1    0.000    0.000    0.000    0.000 _methods.py:39(_amax)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        1    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:174(search)


